"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"AATK"	"ENSG00000181409"	"Receptor tyrosine kinases;Protein phosphatase 1 regulatory subunits"	"apoptosis associated tyrosine kinase"	"NM_004920"
"ABAT"	"ENSG00000183044"	"NULL"	"4-aminobutyrate aminotransferase"	"NM_020686"
"ABCA1"	"ENSG00000165029"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 1"	"NM_005502"
"ABCA2"	"ENSG00000107331"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 2"	"NM_001606"
"ABCA3"	"ENSG00000167972"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 3"	"NM_001089"
"ABCA4"	"ENSG00000198691"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 4"	"NM_000350"
"ABCA5"	"ENSG00000154265"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 5"	"NM_018672"
"ABCA6"	"ENSG00000154262"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 6"	"NM_080284"
"ABCA7"	"ENSG00000064687"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 7"	"NM_019112"
"ABCA8"	"ENSG00000141338"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 8"	"NM_007168"
"ABCA9"	"ENSG00000154258"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 9"	"NM_172386"
"ABCA10"	"ENSG00000154263"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 10"	"NM_080282"
"ABCA12"	"ENSG00000144452"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 12"	"NM_173076"
"ABCA13"	"ENSG00000179869"	"ATP binding cassette subfamily A"	"ATP binding cassette subfamily A member 13"	"NM_152701"
"ABCB1"	"ENSG00000085563"	"CD molecules;ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 1"	"NM_000927"
"ABCB4"	"ENSG00000005471"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 4"	"NM_000443"
"ABCB5"	"ENSG00000004846"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 5"	"NM_178559"
"ABCB6"	"ENSG00000115657"	"Blood group antigens;ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	"NM_005689"
"ABCB7"	"ENSG00000131269"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 7"	"NM_004299"
"ABCB8"	"ENSG00000197150"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 8"	"NM_007188"
"ABCB9"	"ENSG00000150967"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 9"	"NM_019624"
"ABCB10"	"ENSG00000135776"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 10"	"NM_012089"
"ABCB11"	"ENSG00000073734"	"ATP binding cassette subfamily B"	"ATP binding cassette subfamily B member 11"	"NM_003742"
"ABCC1"	"ENSG00000103222"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 1"	"NM_004996"
"ABCC2"	"ENSG00000023839"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 2"	"NM_000392"
"ABCC3"	"ENSG00000108846"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 3"	"NM_020038"
"ABCC4"	"ENSG00000125257"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 4"	"NM_005845"
"ABCC5"	"ENSG00000114770"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 5"	"NM_005688"
"ABCC6"	"ENSG00000091262"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 6"	"NM_001079528"
"ABCC8"	"ENSG00000006071"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 8"	"NM_000352"
"ABCC9"	"ENSG00000069431"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 9"	"NM_005691"
"ABCC10"	"ENSG00000124574"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 10"	"NM_033450"
"ABCC11"	"ENSG00000121270"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 11"	"NM_032583"
"ABCC12"	"ENSG00000140798"	"ATP binding cassette subfamily C"	"ATP binding cassette subfamily C member 12"	"NM_033226"
"ABCD1"	"ENSG00000101986"	"ATP binding cassette subfamily D"	"ATP binding cassette subfamily D member 1"	"NM_000033"
"ABCD2"	"ENSG00000173208"	"ATP binding cassette subfamily D"	"ATP binding cassette subfamily D member 2"	"NM_005164"
"ABCD3"	"ENSG00000117528"	"ATP binding cassette subfamily D;GOLD domain containing"	"ATP binding cassette subfamily D member 3"	"NM_002858"
"ABCD4"	"ENSG00000119688"	"ATP binding cassette subfamily D"	"ATP binding cassette subfamily D member 4"	"NM_005050"
"ABCE1"	"ENSG00000164163"	"ATP binding cassette subfamily E"	"ATP binding cassette subfamily E member 1"	"NM_002940"
"ABCF1"	"ENSG00000204574"	"ATP binding cassette subfamily F"	"ATP binding cassette subfamily F member 1"	"NM_001025091"
"ABCF2"	"ENSG00000033050"	"ATP binding cassette subfamily F"	"ATP binding cassette subfamily F member 2"	"NM_005692"
"ABCF3"	"ENSG00000161204"	"ATP binding cassette subfamily F"	"ATP binding cassette subfamily F member 3"	"NM_018358"
"ABCG1"	"ENSG00000160179"	"ATP binding cassette subfamily G"	"ATP binding cassette subfamily G member 1"	"NM_207174"
"ABCG2"	"ENSG00000118777"	"Blood group antigens;CD molecules;ATP binding cassette subfamily G"	"ATP binding cassette subfamily G member 2 (Junior blood group)"	"NM_004827"
"ABCG4"	"ENSG00000172350"	"ATP binding cassette subfamily G"	"ATP binding cassette subfamily G member 4"	"NM_022169"
"ABCG5"	"ENSG00000138075"	"ATP binding cassette subfamily G"	"ATP binding cassette subfamily G member 5"	"NM_022436"
"ABCG8"	"ENSG00000143921"	"ATP binding cassette subfamily G"	"ATP binding cassette subfamily G member 8"	"NM_022437"
"ABHD1"	"ENSG00000143994"	"Abhydrolase domain containing"	"abhydrolase domain containing 1"	"NM_032604"
"ABHD2"	"ENSG00000140526"	"Abhydrolase domain containing"	"abhydrolase domain containing 2"	"NM_007011"
"ABHD3"	"ENSG00000158201"	"Abhydrolase domain containing"	"abhydrolase domain containing 3"	"NM_001308256"
"ABHD4"	"ENSG00000100439"	"Abhydrolase domain containing"	"abhydrolase domain containing 4"	"NM_022060"
"ABHD5"	"ENSG00000011198"	"Abhydrolase domain containing"	"abhydrolase domain containing 5"	"NM_016006"
"ABHD6"	"ENSG00000163686"	"Abhydrolase domain containing"	"abhydrolase domain containing 6"	"NM_020676"
"ABHD8"	"ENSG00000127220"	"Abhydrolase domain containing"	"abhydrolase domain containing 8"	"NM_024527"
"ABHD10"	"ENSG00000144827"	"Abhydrolase domain containing"	"abhydrolase domain containing 10"	"NM_018394"
"ABHD11"	"ENSG00000106077"	"Abhydrolase domain containing"	"abhydrolase domain containing 11"	"NM_001145364"
"ABHD12"	"ENSG00000100997"	"Abhydrolase domain containing"	"abhydrolase domain containing 12"	"NM_015600"
"ABHD12B"	"ENSG00000131969"	"Abhydrolase domain containing"	"abhydrolase domain containing 12B"	"NM_001206673"
"ABHD13"	"ENSG00000139826"	"Abhydrolase domain containing"	"abhydrolase domain containing 13"	"NM_032859"
"ABHD14A"	"ENSG00000248487"	"Abhydrolase domain containing"	"abhydrolase domain containing 14A"	"NM_015407"
"ABHD14B"	"ENSG00000114779"	"Abhydrolase domain containing"	"abhydrolase domain containing 14B"	"NM_032750"
"ABHD15"	"ENSG00000168792"	"Abhydrolase domain containing"	"abhydrolase domain containing 15"	"NM_198147"
"ABHD16A"	"ENSG00000204427"	"Abhydrolase domain containing"	"abhydrolase domain containing 16A"	"NM_001177515"
"ABHD16B"	"ENSG00000183260"	"Abhydrolase domain containing"	"abhydrolase domain containing 16B"	"NM_080622"
"ABHD17A"	"ENSG00000129968"	"Abhydrolase domain containing"	"abhydrolase domain containing 17A"	"NM_031213"
"ABHD17B"	"ENSG00000107362"	"Abhydrolase domain containing"	"abhydrolase domain containing 17B"	"NM_016014"
"ABHD17C"	"ENSG00000136379"	"Abhydrolase domain containing"	"abhydrolase domain containing 17C"	"NM_021214"
"ABHD18"	"ENSG00000164074"	"NULL"	"abhydrolase domain containing 18"	"NM_001039717"
"ABI1"	"ENSG00000136754"	"NULL"	"abl interactor 1"	"NM_005470"
"ABI2"	"ENSG00000138443"	"NULL"	"abl interactor 2"	"NM_005759"
"ABI3"	"ENSG00000108798"	"NULL"	"ABI family member 3"	"NM_016428"
"ABI3BP"	"ENSG00000154175"	"Fibronectin type III domain containing"	"ABI family member 3 binding protein"	"NM_001349329"
"ABL1"	"ENSG00000097007"	"SH2 domain containing;Abl family tyrosine kinases"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"NM_007313"
"ABL2"	"ENSG00000143322"	"SH2 domain containing;Abl family tyrosine kinases"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"NM_005158"
"ABLIM1"	"ENSG00000099204"	"LIM domain containing"	"actin binding LIM protein 1"	"NM_001003407"
"ABLIM2"	"ENSG00000163995"	"LIM domain containing"	"actin binding LIM protein family member 2"	"NM_001130083"
"ABLIM3"	"ENSG00000173210"	"LIM domain containing"	"actin binding LIM protein family member 3"	"NM_014945"
"ABO"	"ENSG00000175164"	"Glycosyltransferase family 6;Blood group antigens"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"NM_020469"
"ABR"	"ENSG00000159842"	"Pleckstrin homology domain containing;Rho guanine nucleotide exchange factors;C2 domain containing"	"ABR, RhoGEF and GTPase activating protein"	"NM_001092"
"ABRA"	"ENSG00000174429"	"NULL"	"actin binding Rho activating protein"	"NM_139166"
"ABRACL"	"ENSG00000146386"	"NULL"	"ABRA C-terminal like"	"NM_021243"
"ABRAXAS1"	"ENSG00000163322"	"BRCA1 A complex"	"abraxas 1, BRCA1 A complex subunit"	"NM_139076"
"ABRAXAS2"	"ENSG00000165660"	"BRISC complex"	"abraxas 2, BRISC complex subunit"	"NM_032182"
"ABT1"	"ENSG00000146109"	"NULL"	"activator of basal transcription 1"	"NM_013375"
"ABTB1"	"ENSG00000114626"	"Ankyrin repeat domain containing;BTB domain containing"	"ankyrin repeat and BTB domain containing 1"	"NM_172027"
"ABTB2"	"ENSG00000166016"	"Ankyrin repeat domain containing;BTB domain containing"	"ankyrin repeat and BTB domain containing 2"	"NM_145804"
"ACAA1"	"ENSG00000060971"	"NULL"	"acetyl-CoA acyltransferase 1"	"NM_001607"
"ACAA2"	"ENSG00000167315"	"NULL"	"acetyl-CoA acyltransferase 2"	"NM_006111"
"ACACA"	"ENSG00000278540"	"NULL"	"acetyl-CoA carboxylase alpha"	"NM_198836"
"ACACB"	"ENSG00000076555"	"NULL"	"acetyl-CoA carboxylase beta"	"NM_001093"
"ACAD8"	"ENSG00000151498"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase family member 8"	"NM_014384"
"ACAD9"	"ENSG00000177646"	"Acyl-CoA dehydrogenase family;Mitochondrial complex I assembly complex"	"acyl-CoA dehydrogenase family member 9"	"NM_014049"
"ACAD10"	"ENSG00000111271"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase family member 10"	"NM_025247"
"ACAD11"	"ENSG00000240303"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase family member 11"	"NM_032169"
"ACADL"	"ENSG00000115361"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase long chain"	"NM_001608"
"ACADM"	"ENSG00000117054"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase medium chain"	"NM_000016"
"ACADS"	"ENSG00000122971"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase short chain"	"NM_000017"
"ACADSB"	"ENSG00000196177"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase short/branched chain"	"NM_001609"
"ACADVL"	"ENSG00000072778"	"Acyl-CoA dehydrogenase family"	"acyl-CoA dehydrogenase very long chain"	"NM_000018"
"ACAN"	"ENSG00000157766"	"Hyalectan proteoglycans;V-set domain containing;Sushi domain containing;C-type lectin domain containing"	"aggrecan"	"NM_001135"
"ACAP1"	"ENSG00000072818"	"ArfGAPs;Ankyrin repeat domain containing;Pleckstrin homology domain containing;BAR-PH domain containing"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"NM_014716"
"ACAP2"	"ENSG00000114331"	"ArfGAPs;Ankyrin repeat domain containing;Pleckstrin homology domain containing;BAR-PH domain containing"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"NM_012287"
"ACAP3"	"ENSG00000131584"	"ArfGAPs;Ankyrin repeat domain containing;Pleckstrin homology domain containing;BAR-PH domain containing"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"NM_030649"
"ACAT1"	"ENSG00000075239"	"NULL"	"acetyl-CoA acetyltransferase 1"	"NM_000019"
"ACAT2"	"ENSG00000120437"	"NULL"	"acetyl-CoA acetyltransferase 2"	"NM_005891"
"ACBD3"	"ENSG00000182827"	"A-kinase anchoring proteins"	"acyl-CoA binding domain containing 3"	"NM_022735"
"ACBD4"	"ENSG00000181513"	"NULL"	"acyl-CoA binding domain containing 4"	"NM_024722"
"ACBD5"	"ENSG00000107897"	"NULL"	"acyl-CoA binding domain containing 5"	"NM_145698"
"ACBD6"	"ENSG00000230124"	"Ankyrin repeat domain containing"	"acyl-CoA binding domain containing 6"	"NM_032360"
"ACBD7"	"ENSG00000176244"	"NULL"	"acyl-CoA binding domain containing 7"	"NM_001039844"
"ACCS"	"ENSG00000110455"	"NULL"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	"NM_032592"
"ACCSL"	"ENSG00000205126"	"NULL"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	"NM_001031854"
"ACD"	"ENSG00000102977"	"Shelterin complex"	"ACD, shelterin complex subunit and telomerase recruitment factor"	"NM_022914"
"ACE"	"ENSG00000159640"	"CD molecules"	"angiotensin I converting enzyme"	"NM_000789"
"ACE2"	"ENSG00000130234"	"NULL"	"angiotensin I converting enzyme 2"	"NM_021804"
"ACER1"	"ENSG00000167769"	"Alkaline ceramidases"	"alkaline ceramidase 1"	"NM_133492"
"ACER2"	"ENSG00000177076"	"Alkaline ceramidases"	"alkaline ceramidase 2"	"NM_001010887"
"ACER3"	"ENSG00000078124"	"Alkaline ceramidases"	"alkaline ceramidase 3"	"NM_018367"
"ACHE"	"ENSG00000087085"	"Blood group antigens"	"acetylcholinesterase (Cartwright blood group)"	"NM_015831"
"ACIN1"	"ENSG00000100813"	"ASAP complex"	"apoptotic chromatin condensation inducer 1"	"NM_014977"
"ACKR1"	"ENSG00000213088"	"Blood group antigens;CD molecules;Atypical chemokine receptors"	"atypical chemokine receptor 1 (Duffy blood group)"	"NM_002036"
"ACKR2"	"ENSG00000144648"	"Atypical chemokine receptors"	"atypical chemokine receptor 2"	"NM_001296"
"ACKR3"	"ENSG00000144476"	"Atypical chemokine receptors"	"atypical chemokine receptor 3"	"NM_020311"
"ACKR4"	"ENSG00000129048"	"Atypical chemokine receptors"	"atypical chemokine receptor 4"	"NM_016557"
"ACLY"	"ENSG00000131473"	"NULL"	"ATP citrate lyase"	"NM_001096"
"ACMSD"	"ENSG00000153086"	"NULL"	"aminocarboxymuconate semialdehyde decarboxylase"	"NM_001307983"
"ACO1"	"ENSG00000122729"	"NULL"	"aconitase 1"	"NM_002197"
"ACO2"	"ENSG00000100412"	"NULL"	"aconitase 2"	"NM_001098"
"ACOD1"	"ENSG00000102794"	"NULL"	"aconitate decarboxylase 1"	"NM_001258406"
"ACOT1"	"ENSG00000184227"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 1"	"NM_001037161"
"ACOT2"	"ENSG00000119673"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 2"	"NM_006821"
"ACOT4"	"ENSG00000177465"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 4"	"NM_152331"
"ACOT6"	"ENSG00000205669"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 6"	"NM_001037162"
"ACOT7"	"ENSG00000097021"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 7"	"NM_007274"
"ACOT8"	"ENSG00000101473"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 8"	"NM_183386"
"ACOT9"	"ENSG00000123130"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 9"	"NM_012332"
"ACOT11"	"ENSG00000162390"	"Acyl-CoA thioesterases;StAR related lipid transfer domain containing"	"acyl-CoA thioesterase 11"	"NM_015547"
"ACOT12"	"ENSG00000172497"	"Acyl-CoA thioesterases;StAR related lipid transfer domain containing"	"acyl-CoA thioesterase 12"	"NM_130767"
"ACOT13"	"ENSG00000112304"	"Acyl-CoA thioesterases"	"acyl-CoA thioesterase 13"	"NM_018473"
"ACOX1"	"ENSG00000161533"	"NULL"	"acyl-CoA oxidase 1"	"NM_001185039"
"ACOX2"	"ENSG00000168306"	"NULL"	"acyl-CoA oxidase 2"	"NM_003500"
"ACOX3"	"ENSG00000087008"	"NULL"	"acyl-CoA oxidase 3, pristanoyl"	"NM_001101667"
"ACOXL"	"ENSG00000153093"	"NULL"	"acyl-CoA oxidase like"	"NM_018308"
"ACP1"	"ENSG00000143727"	"Class II Cys-based phosphatases;Acid phosphatases"	"acid phosphatase 1"	"NM_004300"
"ACP2"	"ENSG00000134575"	"Acid phosphatases"	"acid phosphatase 2, lysosomal"	"NM_001610"
"ACP4"	"ENSG00000142513"	"Acid phosphatases"	"acid phosphatase 4"	"NM_033068"
"ACP5"	"ENSG00000102575"	"Acid phosphatases"	"acid phosphatase 5, tartrate resistant"	"NM_001111034"
"ACP6"	"ENSG00000162836"	"Acid phosphatases"	"acid phosphatase 6, lysophosphatidic"	"NM_016361"
"ACP7"	"ENSG00000183760"	"NULL"	"acid phosphatase 7, tartrate resistant (putative)"	"NM_001004318"
"ACPP"	"ENSG00000014257"	"Acid phosphatases"	"acid phosphatase, prostate"	"NM_001099"
"ACR"	"ENSG00000100312"	"NULL"	"acrosin"	"NM_001097"
"ACRBP"	"ENSG00000111644"	"Armadillo-like helical domain containing"	"acrosin binding protein"	"NM_032489"
"ACRV1"	"ENSG00000134940"	"NULL"	"acrosomal vesicle protein 1"	"NM_001612"
"ACSBG1"	"ENSG00000103740"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase bubblegum family member 1"	"NM_015162"
"ACSBG2"	"ENSG00000130377"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase bubblegum family member 2"	"NM_030924"
"ACSF2"	"ENSG00000167107"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase family member 2"	"NM_025149"
"ACSF3"	"ENSG00000176715"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase family member 3"	"NM_174917"
"ACSL1"	"ENSG00000151726"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase long chain family member 1"	"NM_001995"
"ACSL3"	"ENSG00000123983"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase long chain family member 3"	"NM_004457"
"ACSL4"	"ENSG00000068366"	"Acyl-CoA synthetase family;X-linked mental retardation"	"acyl-CoA synthetase long chain family member 4"	"NM_004458"
"ACSL5"	"ENSG00000197142"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase long chain family member 5"	"NM_016234"
"ACSL6"	"ENSG00000164398"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase long chain family member 6"	"NM_015256"
"ACSM1"	"ENSG00000166743"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 1"	"NM_052956"
"ACSM2A"	"ENSG00000183747"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 2A"	"NM_001010845"
"ACSM2B"	"ENSG00000066813"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 2B"	"NM_182617"
"ACSM3"	"ENSG00000005187"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 3"	"NM_005622"
"ACSM4"	"ENSG00000215009"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 4"	"NM_001080454"
"ACSM5"	"ENSG00000183549"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase medium chain family member 5"	"NM_017888"
"ACSM6"	"ENSG00000173124"	"NULL"	"acyl-CoA synthetase medium chain family member 6"	"NM_207321"
"ACSS1"	"ENSG00000154930"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase short chain family member 1"	"NM_032501"
"ACSS2"	"ENSG00000131069"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase short chain family member 2"	"NM_018677"
"ACSS3"	"ENSG00000111058"	"Acyl-CoA synthetase family"	"acyl-CoA synthetase short chain family member 3"	"NM_024560"
"ACTA1"	"ENSG00000143632"	"Actins"	"actin, alpha 1, skeletal muscle"	"NM_001100"
"ACTA2"	"ENSG00000107796"	"Actins"	"actin, alpha 2, smooth muscle, aorta"	"NM_001613"
"ACTB"	"ENSG00000075624"	"Actins;BAF complex;PBAF complex;GBAF complex"	"actin beta"	"NM_001101"
"ACTBL2"	"ENSG00000169067"	"NULL"	"actin, beta like 2"	"NM_001017992"
"ACTC1"	"ENSG00000159251"	"Actins"	"actin, alpha, cardiac muscle 1"	"NM_005159"
"ACTG1"	"ENSG00000184009"	"Actins;Deafness associated genes"	"actin gamma 1"	"NM_001614"
"ACTG2"	"ENSG00000163017"	"Actins"	"actin, gamma 2, smooth muscle, enteric"	"NM_001615"
"ACTL6A"	"ENSG00000136518"	"INO80 complex ;SRCAP complex;Actin related proteins;BAF complex;PBAF complex;GBAF complex"	"actin like 6A"	"NM_004301"
"ACTL6B"	"ENSG00000077080"	"Actin related proteins;BAF complex;PBAF complex;GBAF complex"	"actin like 6B"	"NM_016188"
"ACTL7A"	"ENSG00000187003"	"Actin related proteins"	"actin like 7A"	"NM_006687"
"ACTL7B"	"ENSG00000148156"	"Actin related proteins"	"actin like 7B"	"NM_006686"
"ACTL8"	"ENSG00000117148"	"Actin related proteins"	"actin like 8"	"NM_030812"
"ACTL9"	"ENSG00000181786"	"Actin related proteins"	"actin like 9"	"NM_178525"
"ACTL10"	"ENSG00000182584"	"Actin related proteins"	"actin like 10"	"NM_001024675"
"ACTN1"	"ENSG00000072110"	"Actinins"	"actinin alpha 1"	"NM_001102"
"ACTN2"	"ENSG00000077522"	"Actinins"	"actinin alpha 2"	"NM_001103"
"ACTN3"	"ENSG00000248746"	"Actinins"	"actinin alpha 3 (gene/pseudogene)"	"NM_001104"
"ACTN4"	"ENSG00000130402"	"Actinins"	"actinin alpha 4"	"NM_001322033"
"ACTR1A"	"ENSG00000138107"	"Actin related proteins"	"ARP1 actin related protein 1 homolog A"	"NM_005736"
"ACTR1B"	"ENSG00000115073"	"Actin related proteins"	"ARP1 actin related protein 1 homolog B"	"NM_005735"
"ACTR2"	"ENSG00000138071"	"Actin related protein 2/3 complex ;Actin related proteins"	"ARP2 actin related protein 2 homolog"	"NM_001005386"
"ACTR3"	"ENSG00000115091"	"Actin related protein 2/3 complex ;Actin related proteins"	"ARP3 actin related protein 3 homolog"	"NM_005721"
"ACTR3B"	"ENSG00000133627"	"Actin related proteins"	"ARP3 actin related protein 3 homolog B"	"NM_020445"
"ACTR3C"	"ENSG00000106526"	"Actin related proteins"	"ARP3 actin related protein 3 homolog C"	"NM_001164458"
"ACTR5"	"ENSG00000101442"	"INO80 complex ;Actin related proteins"	"ARP5 actin related protein 5 homolog"	"NM_024855"
"ACTR6"	"ENSG00000075089"	"SRCAP complex;Actin related proteins"	"ARP6 actin related protein 6 homolog"	"NM_022496"
"ACTR8"	"ENSG00000113812"	"INO80 complex ;Actin related proteins"	"ARP8 actin related protein 8 homolog"	"NM_022899"
"ACTR10"	"ENSG00000131966"	"Actin related proteins"	"actin related protein 10 homolog"	"NM_018477"
"ACTRT1"	"ENSG00000123165"	"Actin related proteins"	"actin related protein T1"	"NM_138289"
"ACTRT2"	"ENSG00000169717"	"Actin related proteins"	"actin related protein T2"	"NM_080431"
"ACTRT3"	"ENSG00000184378"	"Actin related proteins"	"actin related protein T3"	"NM_032487"
