"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"ERVK9-3"	NA	"NULL"	"endogenous retrovirus group K9, member 3"	"NULL"
"ERVK9-4"	NA	"NULL"	"endogenous retrovirus group K9, member 4"	"NULL"
"ERVK9-5"	NA	"NULL"	"endogenous retrovirus group K9, member 5"	"NULL"
"ERVK9-6"	NA	"NULL"	"endogenous retrovirus group K9, member 6"	"NULL"
"ERVK9-7"	NA	"NULL"	"endogenous retrovirus group K9, member 7"	"NULL"
"ERVK9-8"	NA	"NULL"	"endogenous retrovirus group K9, member 8"	"NULL"
"ERVK9-9"	NA	"NULL"	"endogenous retrovirus group K9, member 9"	"NULL"
"ERVK9-10"	NA	"NULL"	"endogenous retrovirus group K9, member 10"	"NULL"
"ERVK9-11"	"ENSG00000269486"	"NULL"	"endogenous retrovirus group K9, member 11"	"NULL"
"ERVK9-12"	NA	"NULL"	"endogenous retrovirus group K9, member 12"	"NULL"
"ERVK11-1"	NA	"NULL"	"endogenous retrovirus group K11 member 1"	"NULL"
"ERVK13-1"	"ENSG00000260565"	"NULL"	"endogenous retrovirus group K13 member 1"	"NR_040023"
"ERVMER61-1"	"ENSG00000230426"	"NULL"	"endogenous retrovirus group MER61 member 1"	"NULL"
"ERVPABLB-1"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group PABLB member 1, envelope"	"NULL"
"ERVS71-1"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group S71 member 1, envelope"	"NULL"
"ERVS71-2"	NA	"NULL"	"endogenous retrovirus group S71 member 2"	"NULL"
"ERVW-2"	NA	"NULL"	"endogenous retrovirus group W member 2"	"NULL"
"ERVW-3"	NA	"NULL"	"endogenous retrovirus group W member 3"	"NULL"
"ERVW-4"	NA	"NULL"	"endogenous retrovirus group W member 4"	"NULL"
"ERVW-5"	NA	"NULL"	"endogenous retrovirus group W member 5"	"NULL"
"ERVW-6"	NA	"NULL"	"endogenous retrovirus group W member 6"	"NULL"
"ERVW-7"	NA	"NULL"	"endogenous retrovirus group W member 7"	"NULL"
"ERVW-8"	NA	"NULL"	"endogenous retrovirus group W member 8"	"NULL"
"ERVW-9"	NA	"NULL"	"endogenous retrovirus group W member 9"	"NULL"
"ERVW-10"	NA	"NULL"	"endogenous retrovirus group W member 10"	"NULL"
"ERVW-11"	NA	"NULL"	"endogenous retrovirus group W member 11"	"NULL"
"ERVW-12"	NA	"NULL"	"endogenous retrovirus group W member 12"	"NULL"
"ERVW-13"	NA	"NULL"	"endogenous retrovirus group W member 13"	"NULL"
"ERVW-14"	NA	"NULL"	"endogenous retrovirus group W member 14"	"NULL"
"ERVW-15"	NA	"NULL"	"endogenous retrovirus group W member 15"	"NULL"
"ERVW-16"	NA	"NULL"	"endogenous retrovirus group W member 16"	"NULL"
"ERVW-17"	NA	"NULL"	"endogenous retrovirus group W member 17"	"NULL"
"ERVW-18"	NA	"NULL"	"endogenous retrovirus group W member 18"	"NULL"
"ERVW-19"	NA	"NULL"	"endogenous retrovirus group W member 19"	"NULL"
"ERVW-20"	NA	"NULL"	"endogenous retrovirus group W member 20"	"NULL"
"ERVW-21"	NA	"NULL"	"endogenous retrovirus group W member 21"	"NULL"
"ERVW-22"	NA	"NULL"	"endogenous retrovirus group W member 22"	"NULL"
"ERVW-23"	NA	"NULL"	"endogenous retrovirus group W member 23"	"NULL"
"ERVW-24"	NA	"NULL"	"endogenous retrovirus group W member 24"	"NULL"
"ERVW-25"	NA	"NULL"	"endogenous retrovirus group W member 25"	"NULL"
"ERVW-26"	NA	"NULL"	"endogenous retrovirus group W member 26"	"NULL"
"ERVW-27"	NA	"NULL"	"endogenous retrovirus group W member 27"	"NULL"
"ERVW-28"	NA	"NULL"	"endogenous retrovirus group W member 28"	"NULL"
"ERVW-29"	NA	"NULL"	"endogenous retrovirus group W member 29"	"NULL"
"ESA4"	NA	"NULL"	"esterase A4"	"NULL"
"ESAT"	NA	"NULL"	"esterase activator"	"NULL"
"ESB3"	NA	"NULL"	"esterase B3"	"NULL"
"ETDA"	"ENSG00000238210"	"NULL"	"embryonic testis differentiation homolog A"	"NM_001355522"
"F7R"	NA	"NULL"	"coagulation factor VII regulator"	"NULL"
"FAM25E"	"ENSG00000231122"	"NULL"	"family with sequence similarity 25 member E"	"NM_001351234"
"FAM47E-STBD1"	"ENSG00000272414"	"NULL"	"FAM47E-STBD1 readthrough"	"NM_001242939"
"FAM85A"	NA	"NULL"	"family with sequence similarity 85 member A"	"NR_146925"
"FAM85B"	"ENSG00000253893"	"NULL"	"family with sequence similarity 85 member B"	"NR_147089"
"FAM106B"	NA	"NULL"	"family with sequence similarity 106 member B"	"NM_001348161"
"FAM106CP"	"ENSG00000266486"	"NULL"	"family with sequence similarity 106 member C, pseudogene"	"NM_001348162"
"FAM201B"	"ENSG00000230992"	"NULL"	"family with sequence similarity 201 member B"	"NR_135203"
"FAM237B"	"ENSG00000283267"	"NULL"	"family with sequence similarity 237 member B"	"XR_001745267"
"FKBP1A-SDCBP2"	NA	"NULL"	"FKBP1A-SDCBP2 readthrough (NMD candidate)"	"NR_037661"
"FKBP1C"	"ENSG00000198225"	"FKBP prolyl isomerases"	"FK506 binding protein 1C"	"NG_008622"
"FOLH1B"	"ENSG00000134612"	"NULL"	"folate hydrolase 1B"	"NM_153696"
